email,user_pseudo_id,abandoned_products,abandon_timestamp,abandon_count
visitor8@gmail.com,1000684.0967461454,"9199117,GGCOGXXX1570,GGCOGOCA157331,GGCOGXXX1609,GGOEAOLC152099,GGOEGOAB131499,GGOEGOLR152199,GGOEGDNR147599,GGOEGDNC147699,GGOEGDHG162299,GGOEYOLB151999,GGOEGCBA150999,GGOEGAEC134910,GGOEGXXX1130,GGOEGXXX1133,9196897,GGOEAHPL130910,GGOEGXXX1268,GGCOGXXX1008,GGOEYXXX1203,GGOEGXXX1131,GGCOGXXX1006,GGOEGXXX1109,GGOEGXXX0963,GGOEGDNR147599,GGOEYOLB151999,GGOEGDHG162299,GGOEGDNC147699,GGOEGCBA150999,9199084,GGCOGXXX1570,GGCOGOCA157331,GGOEGOAB131499,GGOEGOLR152199,GGCOGXXX1609,GGOEAOLC152099,GGOEYOLB151999,GGOEGDNC147699,GGOEGDNR147599,GGCOGXXX1570,GGCOGXXX1609,GGOEGDHG162299,GGCOGOCA157331,GGOEGOLR152199,9199117,GGOEAOLC152099,GGOEGCBA150999,GGOEGOAB131499,GGOEGOLR152199,GGOEAOLC152099,GGOEGDHG162299,GGCOGOCA157331,GGOEGOAB131499,9199117,GGOEGDNR147599,GGCOGXXX1609,GGCOGXXX1570,GGOEGCBA150999,GGOEGDNC147699,GGOEYOLB151999",1607367186555325,1
visitor9@gmail.com,10009108.1158276609,"GGOEGXXX1361,GGOEAXXX1299,GGOEGXXX1358,9196794,GGOEGXXX1133,GGOEGXXX1445,GGOEGXXX1136,GGOEGXXX1356,GGOEGXXX1130,GGOEAXXX1301,GGOEGXXX1360,GGOEGXXX1131,GGOEGFKA022299,GGOEACBA104599,GGOEAFKQ130599,9188310,GGOEAFKA087599,GGOEGCKA126299,GGOEYFKQ105899,GGOEGAKA126399,GGOEAFKQ130699,GGOEGFKA086699,GGOEGFKQ020399,GGOEGXXX1133,GGOEGXXX1445,GGOEGXXX1358,9196794,GGOEAXXX1301,GGOEGXXX1361,GGOEGXXX1136,GGOEGXXX1356,GGOEGXXX1130,GGOEGXXX1360,GGOEGXXX1131,GGOEAXXX1299",1606793137064383,1
visitor12@gmail.com,1001326.1239892771,"9197398,9197946",1608606151177689,1
visitor26@gmail.com,10021244.1952175629,"GGOEACBA116699,9188198,GGOEGEGC099099,GGOEGABK101099,GGOEGABJ099599,GGOEGABB137799,GGOEGBJJ099499,GGOEACBA129599,GGOEGABL100799,GGOEGEBA101699,GGOEAFBA115399,GGOEGBGJ132699,GGOEGXXX0919,GGOEAFKA087599,GGOEAOCB092899,GGOEGXXX0905,GGOEAFBA115599,GGOEGXXX0906,GGOEACBA104599,GGOEAFBA115499,GGOEGOCL092999,9184980,GGOEAOCB092799,GGOEGXXX1181,GGOEGBGJ132699,9188233,GGOEGEGC099099,GGOEGABK101099,GGOEGABL100799,GGOEGEBA101699,GGOEACBA129599,GGOEGBJJ099499,GGOEACBA116699,GGOEGABB137799,GGOEAFBA115399,GGOEGABJ099599",1607072241504959,1
visitor124@gmail.com,10100355.5532239780,"GGOEGHPB120910,GGOEGAEJ135510,GGOEAHPJ131210,GGOEGAPH161899,GGOEAHPL130910,GGOEGAED134810,9196652,GGOEYHPB121110,GGOEGHPC120810,GGOEGAEC134910,GGOEAHPB131110,GGOEAHPL131010",1607246922078953,1
visitor124@gmail.com,10100355.5532239780,9196729,1607635037292661,2
visitor181@gmail.com,10145299.1262603317,"GGOEGXXX1344,GGOEGXXX1039,GGOEAXXX1308,GGOEGXXX1345,GGOEGXXX1109,GGOEGXXX1383,9199128,GGOEGXXX1340,GGOEGXXX1038,GGOEGXXX1189,GGOEGXXX1385,GGOEGXXX0913",1608770468289449,1
visitor195@gmail.com,1016331.2266778704,"GGOEGHPB120910,GGOEGHPC120810,GGOEGAEJ135510,GGOEYHPB121110,9195710,GGOEAHPL131010,GGOEGAED134810,GGOEGAPH161899,GGOEAHPB131110,GGOEAHPJ131210,GGOEGAEC134910,GGOEAHPL130910",1608116347761729,1
visitor198@gmail.com,1016446.8237887674,"GGOEGXXX1340,GGCOGXXX1569,GGOEGXXX1038,GGOEGXXX1193,GGOEGXXX1342,GGOEGXXX1189,GGOEGXXX0913,GGOEGXXX1345,GGOEGXXX1385,GGOEGXXX1109,GGOEGXXX1344,GGOEGXXX1039,GGOEGBJJ099499,GGOEGBJQ125099,GGOEGBRJ114199,GGOEGBJR100099,GGOEGBJJ099699,GGOEGBJC100199,GGOEGBBC122499,GGOEGABJ099599,9195959,GGOEGBJC122399,GGOEGBJJ103799,GGOEGBBD122099,GGOEGDWD108799,GGOEADWJ129399,GGOEGDNQ138099,GGOEGDHL116999,GGOEGDBD132099,GGCOGDHC101099,GGOEGDHQ127799,GGOEGDHJ116899,GGOEADHH129499,GGOEGDBJ132299,GGOEGDHB137399,GGOEGDHJ136799,GGOEGXXX0913,GGOEGXXX1344,GGOEGXXX1345,GGCOGXXX1569,GGOEGXXX1193,GGOEGXXX1385,GGOEGXXX1189,GGOEGXXX1342,GGOEGXXX1038,GGOEGXXX1109,GGOEGXXX1039,GGOEGXXX1340,GGOEGDBD132099,GGOEADHH129499,GGOEGDHQ127799,GGOEGDHB137399,GGOEADWJ129399,GGOEGDBJ132299,GGOEGDHB107099,GGCOGDHC101099,GGOEGDHJ116899,GGOEGDHJ136799,GGOEGDHL116999,GGOEGDNQ138099,GGOEGDHQ127799,GGOEGDBD132099,GGOEGDHB137399,GGOEGDHJ136799,GGOEGDWD108799,GGOEGDNQ138099,GGOEADHH129499,GGOEGDHJ116899,GGOEGDHL116999,GGOEGDBJ132299,GGCOGDHC101099,GGOEADWJ129399",1608546454474610,1
visitor205@gmail.com,10169443.8944078183,"GGOEGAEC134910,GGOEGHPB120910,GGOEAHPL131010,9188192,GGOEAHPL130910,GGOEGHPC120810,GGOEAHPB131110,GGOEGAEJ135510,GGOEGAPH161899,GGOEYHPB121110,GGOEGAED134810,GGOEAHPJ131210,GGOEGAEJ135510,GGOEYHPB121110,GGOEGAED134810,GGOEAHPJ131210,GGOEGHPC120810,GGOEAHPB131110,9188192,GGOEAHPL130910,GGOEAHPL131010,GGOEGHPB120910,GGOEGAEC134910,GGOEGAPH161899",1607390105480879,1
